researcher_name,openalex_author_id,profile_publications_url,doi_allowlist
Marianne Reddan,A5052180722,,
Mick Craig,A5047747691,,
Chen Zhou,A5035117508,,10.1038/s41562-019-0618-2|10.1038/s42256-022-00542-z|10.1609/aaai.v40i1.37018|10.48448/0mef-b209|10.48448/fx08-0e74|10.1167/jov.20.11.825|10.1167/19.10.179b
Hui Yu,A5006580423,https://www.gla.ac.uk/schools/psychologyneuroscience/staff/huiyu/,
David Porter,A5055816925,https://www.gla.ac.uk/schools/psychologyneuroscience/staff/davidporter/,
David Lowe,A5102965369,,
Gavin Paterson,A5056086094,,
Dmitry Solovyev,EXCLUDE,,
Andrew Reilly,EXCLUDE,,
John Foster,EXCLUDE,,
